cikey;domain_ref;process_id;revision_tag;creation_date;creator;modify_date;modifier;state;priority;title;status;stage;conversation_id;root_id;parent_id;scope_revision;scope_csize;scope_usize;process_guid;process_type;metadata;ext_string1;ext_string2;ext_int1;test_run_id;at_count_id;at_event_id;at_detail_id
124640431;0;"ExternalStatusFlow";"1.0";"01.09.2013 00:49:06,420000";;"01.09.2013 00:49:07,465000";;5;0;"Ven,Lock,I:1-117E6KZ1-HHLQKU";"Scope_FetchOrder";;"LocalGUID:374fe5afb60b8622:536a3ade:140d60aa15b:-7052";"124640431";;4;1246;5277;"MD5{e0fce356a2d7d096b6503dbc06199865}";0;;;;;;4;136;1
124640432;0;"ExternalStatusFlow";"1.0";"01.09.2013 00:49:06,625000";;"01.09.2013 00:49:11,089000";;5;0;"Ven,Compl,O:1-2249667539#1,M:1-117E6KZ1-HHLMP5 ...";"Scope_SyncOrderInput";;"LocalGUID:374fe5afb60b8622:536a3ade:140d60aa15b:-703d";"124640432";;5;1944;10400;"MD5{e0fce356a2d7d096b6503dbc06199865}";0;;;;;;9;357;3
124640433;0;"SiebelOrderItemUpdateFlow";"1.0";"01.09.2013 00:49:08,303000";;"01.09.2013 00:49:10,836000";;5;0;"Instance #124640433 of SiebelOrderItemUpdateFlow";"Scope_UpdateLineItem";;"bpel://localhost/default/ExternalStatusFlow~1.0/124640366-BpInv31-BpSeq54.72-3";"124640366";"124640366";3;911;3485;"MD5{bb3441633e950845e58c3e6a68ac9b9c}";0;;;;;;3;87;0
124640434;0;"SyncModuleAsyncFlow";"1.0";"01.09.2013 00:49:08,305000";;"01.09.2013 00:49:14,025000";;5;0;"Type: Telephony OrderId: 1-2249506464#1 Source ...";"initiated";;"bpel://localhost/default/ExternalStatusFlow~1.0/124640366-BpInv52-BpSeq90.126-3";"124640366";"124640366";2;681;1921;"MD5{de8e44746de3fbb05d151ed4c403d6c2}";0;;;;;;5;13;0
124640437;0;"SiebelOrderItemUpdateFlow";"1.0";"01.09.2013 00:49:08,405000";;"01.09.2013 00:49:09,521000";;5;0;"Instance #124640437 of SiebelOrderItemUpdateFlow";"Scope_UpdateLineItem";;"bpel://localhost/default/ExternalStatusFlow~1.0/124640415-BpInv31-BpSeq54.72-3";"124640415";"124640415";2;823;2775;"MD5{bb3441633e950845e58c3e6a68ac9b9c}";0;;;;;;2;53;0
124640435;0;"ProcessPhoneNoFlow";"1.0";"01.09.2013 00:49:08,310000";;"01.09.2013 00:49:11,340000";;9;0;" OrderId: 1-2249506464#1, CustomerNumber: 1135 ...";"Scope_CallNumber";;"bpel://localhost/default/ExternalStatusFlow~1.0/124640366-BpInv44-BpSeq78.104-2";"124640366";"124640366";3;977;3720;"MD5{bcb6f0d5098316c226f39f8813cb6f09}";0;;;;;;4;82;1
124640438;0;"SyncModuleAsyncFlow";"1.0";"01.09.2013 00:49:08,410000";;"01.09.2013 00:49:09,530000";;5;0;"Type: Access OrderId: 1-2249667539#1 Source: V ...";"initiated";;"bpel://localhost/default/ExternalStatusFlow~1.0/124640415-BpInv52-BpSeq90.85-3";"124640415";"124640415";2;683;1921;"MD5{de8e44746de3fbb05d151ed4c403d6c2}";0;;;;;;3;13;0
124640250;0;"SiebelActivityFlow";"1.0";"01.09.2013 00:01:35,854000";;"01.09.2013 00:01:37,075000";;9;0;"GlobalId: 374fe5afb60b8622:536a3ade:140d60aa15 ...";"initiated";;"bpel://localhost/default/ExternalActivityFlow~1.0/124640238-BpInv2-BpSeq18.25-1";"124640236";"124640238";2;791;2545;"MD5{d4b2259affa87c543276b552230f14f6}";0;;;;;;2;34;0
124640475;0;"ExternalStatusFlow";"1.0";"01.09.2013 00:49:14,910000";;"01.09.2013 00:49:15,803000";;5;0;"Ven,Lock,I:1-117E6KZ1-HHLQM4";"Scope_FetchOrder";;"LocalGUID:374fe5afb60b8622:536a3ade:140d60aa15b:-6ea0";"124640475";;4;1230;5277;"MD5{e0fce356a2d7d096b6503dbc06199865}";0;;;;;;4;136;1
124640478;0;"ExternalStatusFlow";"1.0";"01.09.2013 00:49:15,354000";;"01.09.2013 00:49:16,276000";;5;0;"Ven,Lock,I:1-117C89R1-GQ4PWO";"Scope_FetchOrder";;"LocalGUID:374fe5afb60b8622:536a3ade:140d60aa15b:-6e7f";"124640478";;4;1236;5277;"MD5{e0fce356a2d7d096b6503dbc06199865}";0;;;;;;4;136;1
124640481;0;"SyncModuleAsyncFlow";"1.0";"01.09.2013 00:49:18,270000";;"01.09.2013 00:49:19,052000";;5;0;"Type: Access OrderId: 1-2249576415#2 Source: V ...";"initiated";;"bpel://localhost/default/ExternalStatusFlow~1.0/124640476-BpInv52-BpSeq90.125-3";"124640476";"124640476";2;682;1921;"MD5{de8e44746de3fbb05d151ed4c403d6c2}";0;;;;;;3;13;0
124640486;0;"SiebelUpdateFlow";"1.0";"01.09.2013 00:49:19,317000";;"01.09.2013 00:49:20,213000";;5;0;"GlobalId: 1-117C89R1-GQ4NOR";"Update";;"bpel://localhost/default/SiebelOrderItemUpdateFlow~1.0/124640480-BpInv2-BpSeq8.11-2";"124640476";"124640480";3;843;2762;"MD5{c2bf6db6ae318cbe49d06969abb6c937}";0;;;;;;3;61;0
124640491;0;"SyncModuleFlow";"1.0";"01.09.2013 00:49:19,564000";;"01.09.2013 00:49:21,934000";;5;0;"Type: Access OrderId: 1-2249576415#2 Source: V ...";"initiated";;"bpel://localhost/default/SyncModuleAsyncFlow~1.0/124640488-BpInv0-BpSeq0.3-4";"124640479";"124640488";3;841;2791;"MD5{3ab6e96d6a52e32fde37b0a57eb42066}";0;;;;;;4;53;0
124640496;0;"ExternalStatusFlow";"1.0";"01.09.2013 00:49:24,653000";;"01.09.2013 00:49:24,851000";;5;0;"Ven,Lock,I:1-117C89R1-GQ4NOR";"Scope_HandleEvent";;"LocalGUID:374fe5afb60b8622:536a3ade:140d60aa15b:-6dc7";"124640496";;2;859;2776;"MD5{e0fce356a2d7d096b6503dbc06199865}";0;;;;;;2;51;0
124640498;0;"ExternalStatusFlow";"1.0";"01.09.2013 00:49:24,868000";;"01.09.2013 00:49:25,958000";;5;0;"Ven,Compl,I:1-117C89R1-GQ4PWO";"Scope_FetchOrder";;"LocalGUID:374fe5afb60b8622:536a3ade:140d60aa15b:-6db7";"124640498";;4;1252;5277;"MD5{e0fce356a2d7d096b6503dbc06199865}";0;;;;;;4;136;1
124640502;0;"ExternalStatusFlow";"1.0";"01.09.2013 00:49:25,381000";;"01.09.2013 00:49:26,444000";;5;0;"Ven,Lock,I:1-117C89R1-GQ4Q7X";"Scope_FetchOrder";;"LocalGUID:374fe5afb60b8622:536a3ade:140d60aa15b:-6d94";"124640502";;4;1237;5277;"MD5{e0fce356a2d7d096b6503dbc06199865}";0;;;;;;4;136;1
124640504;0;"ExternalStatusFlow";"1.0";"01.09.2013 00:49:25,679000";;"01.09.2013 00:49:29,286000";;5;0;"Ven,Lock,O:1-2249576415#2,M:1-117C89R1-GQ4QMB, ...";"Scope_SyncOrderInput";;"LocalGUID:374fe5afb60b8622:536a3ade:140d60aa15b:-6d7c";"124640504";;5;1690;8358;"MD5{e0fce356a2d7d096b6503dbc06199865}";0;;;;;;8;285;3
124640516;0;"CharlieOrderSyncFlow";"1.0";"01.09.2013 00:49:28,870000";;"01.09.2013 00:49:29,101000";;9;0;"OrderId: 1-2249576415#2";"Scope_CharlieOrderSync";;"bpel://localhost/default/SyncModuleFlow~1.0/124640514-BpInv2-BpSeq8.13-2";"124640503";"124640514";1;692;2088;"MD5{78f8ea1d4b06aea95f6ea178ff906a72}";0;;;;;;3;35;0
124640522;0;"CharlieOrderSyncFlow";"1.0";"01.09.2013 00:49:29,714000";;"01.09.2013 00:49:29,939000";;9;0;"OrderId: 1-2249576415#2";"Scope_CharlieOrderSync";;"bpel://localhost/default/SyncModuleFlow~1.0/124640521-BpInv2-BpSeq8.13-2";"124640504";"124640521";1;696;2088;"MD5{78f8ea1d4b06aea95f6ea178ff906a72}";0;;;;;;3;35;0
124640524;0;"ExternalStatusFlow";"1.0";"01.09.2013 00:49:34,526000";;"01.09.2013 00:49:38,325000";;5;0;"Ven,Compl,O:1-2249576415#2,M:1-117C89R1-GQ4QMB ...";"Scope_SyncOrderInput";;"LocalGUID:374fe5afb60b8622:536a3ade:140d60aa15b:-6cc4";"124640524";;5;2063;11308;"MD5{e0fce356a2d7d096b6503dbc06199865}";0;;;;;;9;389;3
124640539;0;"SiebelOrderItemUpdateFlow";"1.0";"01.09.2013 00:49:38,427000";;"01.09.2013 00:49:40,774000";;5;0;"Instance #124640539 of SiebelOrderItemUpdateFlow";"Scope_UpdateLineItem";;"bpel://localhost/default/ExternalStatusFlow~1.0/124640524-BpInv31-BpSeq54.72-3";"124640524";"124640524";3;909;3485;"MD5{bb3441633e950845e58c3e6a68ac9b9c}";0;;;;;;3;87;0
124640544;0;"CharlieOrderSyncFlow";"1.0";"01.09.2013 00:49:38,799000";;"01.09.2013 00:49:39,103000";;9;0;"OrderId: 1-2249576415#2";"Scope_CharlieOrderSync";;"bpel://localhost/default/SyncModuleFlow~1.0/124640543-BpInv2-BpSeq8.13-2";"124640524";"124640543";1;689;2088;"MD5{78f8ea1d4b06aea95f6ea178ff906a72}";0;;;;;;3;35;0
